Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,4,22,30,0,0,0,7,4,153.63,0.070100002,2.6,1.24,104.7,100,5,1000
2015,1,4,23,0,0,0,0,7,4,157.78,0.070100002,2.8,1.03,98.6,96.43,5,1000
2015,1,4,23,30,0,0,0,7,4,160.73,0.070100002,2.8,0.908,98.6,100,4,1000
2015,1,5,0,0,0,0,0,7,3,161.87,0.070100002,2.9,0.786,97.5,94.52,4,1000
2015,1,5,0,30,0,0,0,7,2,160.87,0.070100002,2.8,0.751,97.5,100,3,1000
2015,1,5,1,0,0,0,0,7,2,158.03,0.070100002,2.7,0.717,96.3,95.15,3,1000
2015,1,5,1,30,0,0,0,0,2,153.95,0.070100002,2.6,0.707,96.3,95.19,3,1000
2015,1,5,2,0,0,0,0,0,1,149.13,0.070100002,2.5,0.698,99,91.42,3,1000
2015,1,5,2,30,0,0,0,0,1,143.89,0.070100002,2.6,0.687,99,98.19,2,1010
2015,1,5,3,0,0,0,0,0,1,138.41,0.070100002,2.7,0.676,101.6,94.08,2,1010
2015,1,5,3,30,0,0,0,0,1,132.8,0.070100002,2.7,0.652,101.6,94.1,2,1010
2015,1,5,4,0,0,0,0,4,0,127.14,0.070100002,2.8,0.629,107.8,86.32,2,1010
2015,1,5,4,30,0,0,0,0,0,121.46,0.070100002,2.7,0.607,107.8,92.77,1,1010
2015,1,5,5,0,0,0,0,1,-1,115.81,0.070100002,2.7,0.586,108.9,83.66,1,1010
2015,1,5,5,30,0,0,0,4,-1,110.24,0.070100002,2.7,0.571,108.9,90.01,0,1010
2015,1,5,6,0,0,0,0,4,-2,104.75,0.070100002,2.8,0.556,108.6,80.7,0,1010
